Symbol	GSM3446059	GSM3446060	GSM3446061	GSM3446062	GSM3446063	GSM3446064	GSM3446065	GSM3446066	GSM3446067	GSM3446068	GSM3446069	GSM3446070
AA06	-2.90152657619318	-1.5073807267681	-2.70710745562641	-2.93989851668482	-1.81586470190979	-0.95444183286653	-2.88199888443634	-3.27220089243601	-2.93683092395386	-3.26025068052135	-3.23125432333572	-2.19102534633688
ABCC8	-2.63202456954747	-1.22688894818834	-2.41797323993709	-2.66607536575837	-1.52364188993864	-0.677535564471664	-2.41404690599207	-2.50194510333489	-2.71320562750513	-3.14377735056659	-2.60507584806739	-2.65677907421036
ACADM	1.59225618368881	0.671084749619786	1.61168475259723	1.72190374934447	1.23788468746825	-0.723276069409985	1.67412358918125	1.9654907098198	1.82154601317203	1.72465096887667	2.11195201597253	1.82319729771199
ACE	-1.32888070163566	0.144958071258611	-1.11155279097134	-0.873311382119061	-0.154359829197463	0.775858423293773	-1.01189805107002	-1.51636010433655	-1.04878013612859	-1.5298358526008	-1.59169604921123	-0.763669845155343
ACVR1B	-1.96567016865921	-1.32730892108698	-2.51440581516786	-1.65123503849061	-1.2272193707785	-0.495611254812828	-2.92139238686595	-1.63730513665082	-2.25673618340954	-2.85801121236078	-2.12429835681884	-2.20229633598842
ADAM21	-1.50466768396148	-0.908857576351261	-1.93690623125626	-1.54518566664441	-1.76846712631393	-0.936022760012514	-1.36818880964392	-1.81834542045337	-1.92339619615145	-1.24742563725578	-1.08224737727747	-1.51357274726871
ADAMTS20	-2.71928595898783	-1.42054489506211	-2.62356890394196	-2.85177587067519	-1.73277031205514	-0.875417679057397	-3.06992438770909	-3.18219360741283	-2.84601565250903	-3.27435256821482	-2.49383618367172	-2.79348202714861
AGAP9	0.946002167321028	2.4212147744114	1.65566543660663	1.19646337339526	2.08644128713849	2.41580291313788	0.684746775750609	1.20577142768274	1.54303098280129	0.320545590018925	1.13605132278504	1.45175721965256
AGBL5-AS1	-1.90892116570561	-1.41463964369436	-2.62089984502062	-2.8462595985492	-1.72115515042004	-0.864089544246425	-3.02527690969587	-3.13777470827628	-2.80256346153115	-2.13120320678846	-3.09074370398835	-1.96978149904915
AGGF1	0.426161415038682	-1.210400014663	0.657341484392637	0.781051205104507	-0.664858942424785	-0.678644948120074	0.62441588468054	1.11141714248136	0.883119553411011	0.391928636070352	0.89179463665298	0.397790373866607
AGPAT5	0.929269153824414	-0.404394957923188	1.40491804741462	0.875583726575719	0.73233605859111	-0.701994303191146	1.12035236436903	1.44009547496041	1.24347672189229	1.00802474444457	1.84069760054505	1.11252798040887
AGRP	-2.4992874394456	-1.34865016309071	-2.56584787801025	-2.80762959303791	-1.6767888807963	-0.744779368154786	-2.98122326019247	-3.10835634955644	-2.7802025298506	-2.61921153462337	-2.25569902618224	-2.74839248257817
